latitude,longitude,area_statistics-population_density_score,area_statistics-square_meters,area_statistics-population,area_statistics-housing_units,area_statistics-metro-id,area_statistics-metro-name,area_statistics-metro-type,area_statistics-commercial_residential-residential,area_statistics-commercial_residential-business,area_statistics-commercial_residential-unknown,income-median_income-amount,income-median_income-score-national,income-median_income-score-state,income-median_income-score-county,housing-median_rent-amount,housing-median_rent-score-national,housing-median_rent-score-state,housing-median_rent-score-county,housing-median_home_value-amount,housing-median_home_value-score-national,housing-median_home_value-score-state,housing-median_home_value-score-county,housing-household_type-married_couple_family,housing-household_type-male_householder,housing-household_type-female_householder,housing-household_type-householder_living_alone,housing-household_type-householder_not_living_alone,education-level_attained-male-less_than_high_school,education-level_attained-male-high_school_or_ged,education-level_attained-male-some_college,education-level_attained-male-associates_degree,education-level_attained-male-bachelors_degree,education-level_attained-male-masters_degree,education-level_attained-male-professional_degree,education-level_attained-male-doctorate_degree,education-level_attained-female-less_than_high_school,education-level_attained-female-high_school_or_ged,education-level_attained-female-some_college,education-level_attained-female-associates_degree,education-level_attained-female-bachelors_degree,education-level_attained-female-masters_degree,education-level_attained-female-professional_degree,education-level_attained-female-doctorate_degree,race_and_ethnicity-origin-hispanic_or_latino,race_and_ethnicity-race-white,race_and_ethnicity-race-black_or_african_american,race_and_ethnicity-race-american_indian_and_alaska_native,race_and_ethnicity-race-asian,race_and_ethnicity-race-native_hawaiian_and_other_pacific_islander,race_and_ethnicity-race-some_other_race,race_and_ethnicity-race-two_or_more_races,age_and_sex-male,age_and_sex-female,age_and_sex-median_age-male,age_and_sex-median_age-female,age_and_sex-age_ranges_by_sex-male-20,age_and_sex-age_ranges_by_sex-male-21,age_and_sex-age_ranges_by_sex-male-under_5,age_and_sex-age_ranges_by_sex-male-5_to_9,age_and_sex-age_ranges_by_sex-male-10_to_14,age_and_sex-age_ranges_by_sex-male-15_to_17,age_and_sex-age_ranges_by_sex-male-18_and_19,age_and_sex-age_ranges_by_sex-male-22_to_24,age_and_sex-age_ranges_by_sex-male-25_to_29,age_and_sex-age_ranges_by_sex-male-30_to_34,age_and_sex-age_ranges_by_sex-male-35_to_39,age_and_sex-age_ranges_by_sex-male-40_to_44,age_and_sex-age_ranges_by_sex-male-45_to_49,age_and_sex-age_ranges_by_sex-male-50_to_54,age_and_sex-age_ranges_by_sex-male-55_to_59,age_and_sex-age_ranges_by_sex-male-60_and_61,age_and_sex-age_ranges_by_sex-male-62_to_64,age_and_sex-age_ranges_by_sex-male-65_and_66,age_and_sex-age_ranges_by_sex-male-67_to_69,age_and_sex-age_ranges_by_sex-male-70_to_74,age_and_sex-age_ranges_by_sex-male-75_to_79,age_and_sex-age_ranges_by_sex-male-80_to_84,age_and_sex-age_ranges_by_sex-male-85_years_and_over,age_and_sex-age_ranges_by_sex-female-20,age_and_sex-age_ranges_by_sex-female-21,age_and_sex-age_ranges_by_sex-female-under_5,age_and_sex-age_ranges_by_sex-female-5_to_9,age_and_sex-age_ranges_by_sex-female-10_to_14,age_and_sex-age_ranges_by_sex-female-15_to_17,age_and_sex-age_ranges_by_sex-female-18_and_19,age_and_sex-age_ranges_by_sex-female-22_to_24,age_and_sex-age_ranges_by_sex-female-25_to_29,age_and_sex-age_ranges_by_sex-female-30_to_34,age_and_sex-age_ranges_by_sex-female-35_to_39,age_and_sex-age_ranges_by_sex-female-40_to_44,age_and_sex-age_ranges_by_sex-female-45_to_49,age_and_sex-age_ranges_by_sex-female-50_to_54,age_and_sex-age_ranges_by_sex-female-55_to_59,age_and_sex-age_ranges_by_sex-female-60_and_61,age_and_sex-age_ranges_by_sex-female-62_to_64,age_and_sex-age_ranges_by_sex-female-65_and_66,age_and_sex-age_ranges_by_sex-female-67_to_69,age_and_sex-age_ranges_by_sex-female-70_to_74,age_and_sex-age_ranges_by_sex-female-75_to_79,age_and_sex-age_ranges_by_sex-female-80_to_84,age_and_sex-age_ranges_by_sex-female-85_years_and_over
36,-96,30,15583718.5,3957,90,46140,,,95.4,1.3,3.3,83949,84,94,87,1416,76,89,85,189900,55,92,81,64.5,5.6,9.7,15.8,4.4,9.2,13.4,12.1,2.2,47.3,5.4,8.7,1.6,4,19.4,13.1,9.2,39.5,10,4.8,0,10.5,78.5,4.2,1.1,4.6,0,1.9,9.5,49.9,50.1,26,31.3,0.5,1,14.9,11.5,9.8,4.9,0,4.3,7.3,7.3,6.4,9.2,10.6,3.8,2.4,0.5,0.9,0,2.1,0.5,1.6,0.6,0,0.5,0.7,13.8,10,6.7,4.5,0,3.3,8,13.8,8.6,8.9,5.9,2.5,4.8,0.5,1,0,1.8,0.8,1.9,0.9,1.2
36.03500000000002,-96,21,19583386.4,1599,53,46140,,,73.1,9.7,17.2,84609,85,94,87,1231,71,88,82,240400,66,96,89,67.8,0,8.4,22.1,1.7,7.3,17.2,17.9,10.8,36.7,3.4,3.1,3.6,6.7,16.2,39.9,4.7,23.7,5.1,2,1.8,3.1,97.1,0,0,2.4,0,0,0.5,49.5,50.5,45.1,46.3,0,0,4.3,2.8,6.4,4.2,3.4,4.9,10,1.5,5.9,6.4,8.5,7.3,5.2,6.8,5.9,0,0.8,0.9,3.7,7.6,3.5,0,0,8.1,4.5,3.3,5.2,0,3.1,9,1.6,8.1,5.2,8.4,8.9,7.4,5.8,4.1,0,4.3,3.8,0,6.7,2.4
36.08000000000004,-96,34,5947214.1,1941,60,46140,,,84.1,6.6,9.3,29598,16,20,15,245,1,1,2,99700,24,57,36,24.4,9.4,40.8,20.3,5.1,10.1,39.6,20.3,13.9,5.9,10.1,0,0,15.1,35.1,21.9,8.5,17.6,1.8,0,0,15.3,53.7,30.6,5.4,0,0,6.4,3.9,43.2,56.8,22.3,27.7,0,1,17.9,9.8,11,4.8,4.7,2.7,6.7,8.1,5,1.4,2.5,6.1,3,1.1,4.1,1.1,3.5,1.2,0.8,0.7,3,2,0,10.5,5.9,12.1,8.7,3.4,1.1,13,5.6,6.4,3.6,10.4,2.5,3.9,1.1,0,0.3,0.9,4.3,1.5,0.6,2.1
36.090000000000046,-96,30,9210539.9,2029,86,46140,,,75.6,16.4,8,35608,25,36,28,597,18,35,13,71700,10,29,16,32.4,5.9,24.4,32.7,4.6,13.8,50.9,27.6,2.6,3.6,0,1.5,0,23,37.5,21.5,9.5,2.1,4.7,1.6,0,8.8,68.9,12.3,6.9,0,0,0,11.9,53.2,46.8,33,35.9,0.9,0.6,6.5,6.9,12.3,3.9,1.8,5.6,9.5,5.9,2.1,8.3,8,4.3,5,3.8,1,1.7,2.6,2.6,0.5,1.9,4.4,0,0.8,16.1,2.4,5,6.4,2.2,2.4,5.9,7.3,5.4,5.5,7.7,7.5,3.8,1.4,2,3.3,4.1,4.3,1.5,3.8,1.3
36.13000000000007,-96,70,1365624.3,2114,112,46140,,,74.5,6.8,18.7,15417,3,2,2,613,19,39,16,91300,20,50,27,9.7,9.3,16.9,61.1,3,9,46.4,8,22.1,13.5,0,0,1.1,17.9,36.9,15.6,15.9,9.7,4.1,0,0,17.6,49.2,26,7.6,5.7,0,8,3.5,48.7,51.3,26.6,27.4,0,3.3,14.1,7.7,2.8,3.6,1.5,12.1,8.9,8.1,5,7.4,9.1,3.6,4.2,0,0,0,4.3,3.1,1.3,0,0,2.9,5,11.1,10.2,1.8,0,5.6,7.2,9.8,8.4,1.3,8.4,4.3,3.6,8.1,1.7,3.8,1.2,0.7,2.9,1.7,0,0.5
36.14000000000007,-96,60,1123061.7,1085,54,46140,,,72.4,12.4,15.2,46667,44,62,50,731,33,60,35,168800,50,88,74,35.3,2.1,11,48.9,2.7,1.9,3,33.8,4.2,35.2,7.2,12.2,2.5,3.4,16.9,25.2,1.5,37.8,10.4,4.9,0,0,83.2,5.3,3.4,0,0,0,8,45.9,54.1,42.3,47.7,0,2.2,9.6,2.2,1.4,0,2.6,9.4,12.9,4.8,2.6,9,6.2,4.8,13.7,7.6,5.6,0,0,0,5.2,0,0,0,0,1.2,0,4.3,1.9,0,12.1,5.5,17,5.5,1.2,5.6,12.6,7.2,0,11.9,0,2.4,9,2.7,0,0
36.15000000000008,-96,47,2796472.2,2387,31,46140,,,9.3,58.1,32.6,8071,1,1,1,216,1,1,1,73800,11,31,17,8.6,0,0,80.4,11,39.8,30.8,17.5,2.7,8.9,0.3,0,0,19.7,38,25.9,6.9,9.5,0,0,0,11.5,48.2,31.9,9.8,0.5,0,2.9,6.7,85,15,32.8,33.8,2.9,0.4,0,0.8,0.6,4,5.9,8.1,17.1,15.3,11.4,4.7,8.5,7.3,4.9,0.2,2.3,0.4,2.9,2,0,0.3,0,2.8,0.3,2.8,2,2.2,0,6.2,7,11.5,22.1,7.3,3.6,5.9,3.1,6.4,0.3,3.9,3.6,0,0,6.7,0,2.2
36.16000000000008,-96,52,1404924.8,1445,55,46140,,,95.3,2.1,2.6,28073,14,17,14,900,50,77,62,66700,8,24,14,29.5,10.2,8.9,36.1,15.3,15.3,35.5,18,10,9.1,6,3.3,2.9,22.1,39.6,19.5,4.1,6.4,8.2,0,0,15.1,66.2,8.2,12.5,0,1.5,1.6,10,55.7,44.3,29.4,41.4,0,6.3,11.4,3.6,3.5,5.5,6.3,7.3,6.8,5.1,2.7,7.8,6.3,11.8,3.6,0,1.2,1.9,1.1,4.2,3.4,0,0,1.6,0,6.1,1.4,6.1,0,0,4.8,11.9,13.9,3.3,7.2,8.6,4.7,7.8,1.4,1.7,0,3.3,11.1,5.2,0,0
36.165000000000084,-96,41,699585.7,438,22,46140,,,76.7,12.3,11,13026,2,2,1,669,26,51,23,107700,27,63,43,44.8,0,5.8,46.5,2.9,8.5,13.9,31.3,21.4,24.9,0,0,0,6,63.4,11.9,0,9,9.7,0,0,0,33.1,47,1.6,0,0,0,18.3,57.5,42.5,41.4,26.8,0,2,0,13.9,0,0.4,3.6,0.4,7.5,2.8,14.7,16.7,11.9,7.5,3.6,0,0,0,0.8,0,0,7.5,6.7,0,0,0,18.8,0.5,5.9,0,2.7,30.1,6.5,5.4,7,3.2,0,14.5,0,1.1,0,0,4.3,0,0,0
36.17000000000009,-96,60,508501.3,698,32,46140,,,97.2,1,1.8,22100,7,7,6,792,39,68,45,67000,9,24,14,14.7,0,33.3,45,7,64.4,22.2,5.6,2.8,5,0,0,0,19.6,52.1,9.6,6.1,11.8,0.7,0,0,0.3,23.5,55.7,0,0,5.9,0,14.9,38.3,61.7,51.8,33.1,0,0,9.4,0,7.5,8.2,5.6,1.9,5.2,3,0,0,0,15,0,0,4.9,0,6.4,33,0,0,0,0,2.3,8.1,9,2.1,8.4,1.9,3.2,9,10.4,1.6,3.2,9,0.9,8.1,0,0.2,5.1,2.1,9,0,6,0
